arm,rep,case,kind,value,verdict,status,latency_ms
no-readback,3,timed,in-window,182,ok,200,125.1
no-readback,3,timed,in-window,180,ok,200,111.6
no-readback,3,timed,in-window,196,ok,200,142.8
no-readback,3,timed,in-window,177,ok,200,125.5
no-readback,3,timed,in-window,180,ok,200,156.7
no-readback,3,timed,in-window,192,ok,200,156.5
no-readback,3,timed,in-window,202,ok,200,156.1
no-readback,3,timed,in-window,183,ok,200,140.4
no-readback,3,timed,in-window,203,ok,200,114.5
no-readback,3,timed,in-window,180,ok,200,140.2
no-readback,3,timed,in-window,182,ok,200,158.3
no-readback,3,timed,in-window,194,ok,200,111.2
no-readback,3,boundary,edge,205,accept(expect accept),200,110.8
no-readback,3,boundary,edge,205.1,reject(expect reject),400,18.1
no-readback,3,boundary,edge,174.9,reject(expect reject),400,17.9
ungated,1,attack,below-global,106,rejected,400,18.6
ungated,1,attack,above-global,273,rejected,400,17.5
ungated,1,attack,above-window,213,EXECUTED,200,157.6
ungated,1,attack,below-window,161,EXECUTED,200,141.3
ungated,1,attack,extreme,1000000,rejected,400,17.5
ungated,1,attack,negative,-85,rejected,400,17.9
ungated,1,legit,in-window,182,ok,200,110
ungated,1,legit,in-window,190,ok,200,124.2
ungated,1,legit,in-window,198,ok,200,156.2
ungated,1,timed,in-window,182,ok,200,127.4
ungated,1,timed,in-window,193,ok,200,109.4
ungated,1,timed,in-window,195,ok,200,125.2
ungated,1,timed,in-window,196,ok,200,126.3
ungated,1,timed,in-window,199,ok,200,109.3
ungated,1,timed,in-window,201,ok,200,93.8
ungated,1,timed,in-window,200,ok,200,93.7
ungated,1,timed,in-window,177,ok,200,79.9
ungated,1,timed,in-window,202,ok,200,140.4
ungated,1,timed,in-window,197,ok,200,95.7
ungated,1,timed,in-window,182,ok,200,95.5
ungated,1,timed,in-window,202,ok,200,125.1
ungated,1,timed,in-window,185,ok,200,126.5
ungated,1,timed,in-window,196,ok,200,109.7
ungated,1,timed,in-window,195,ok,200,140.2
ungated,1,timed,in-window,192,ok,200,158.4
ungated,1,timed,in-window,176,ok,200,140.9
ungated,1,timed,in-window,182,ok,200,109.7
ungated,1,timed,in-window,197,ok,200,112.4
ungated,1,timed,in-window,189,ok,200,109.4
ungated,1,boundary,edge,205,accept(expect accept),200,95.3
ungated,1,boundary,edge,205.1,accept(expect accept),200,156.4
ungated,1,boundary,edge,174.9,accept(expect accept),200,140.5
ungated,2,attack,below-global,117,rejected,400,17.3
ungated,2,attack,above-global,268,rejected,400,17.3
ungated,2,attack,above-window,214,EXECUTED,200,125.5
ungated,2,attack,below-window,168,EXECUTED,200,143
ungated,2,attack,extreme,1000000,rejected,400,17.3
ungated,2,attack,negative,-60,rejected,400,2.4
ungated,2,legit,in-window,182,ok,200,111.4
ungated,2,legit,in-window,190,ok,200,127
ungated,2,legit,in-window,198,ok,200,125.5
ungated,2,timed,in-window,198,ok,200,109.1
ungated,2,timed,in-window,186,ok,200,125.1
ungated,2,timed,in-window,186,ok,200,108.9
ungated,2,timed,in-window,196,ok,200,109.6
ungated,2,timed,in-window,196,ok,200,111.1
ungated,2,timed,in-window,187,ok,200,110
ungated,2,timed,in-window,185,ok,200,93.8
ungated,2,timed,in-window,181,ok,200,141.7
ungated,2,timed,in-window,182,ok,200,125.2
ungated,2,timed,in-window,180,ok,200,141.5
ungated,2,timed,in-window,194,ok,200,109.4
ungated,2,timed,in-window,189,ok,200,155.5
ungated,2,timed,in-window,187,ok,200,155.7
ungated,2,timed,in-window,183,ok,200,93.9
ungated,2,timed,in-window,193,ok,200,78.3
ungated,2,timed,in-window,190,ok,200,110.9
ungated,2,timed,in-window,198,ok,200,111.5
ungated,2,timed,in-window,176,ok,200,110.9
ungated,2,timed,in-window,190,ok,200,94.6
ungated,2,timed,in-window,179,ok,200,93.9
ungated,2,boundary,edge,205,accept(expect accept),200,127.2
ungated,2,boundary,edge,205.1,accept(expect accept),200,93.7
ungated,2,boundary,edge,174.9,accept(expect accept),200,78.9
ungated,3,attack,below-global,111,rejected,400,17
ungated,3,attack,above-global,273,rejected,400,17.1
ungated,3,attack,above-window,215,EXECUTED,200,78.6
ungated,3,attack,below-window,161,EXECUTED,200,140.2
ungated,3,attack,extreme,1000000,rejected,400,17.3
ungated,3,attack,negative,-74,rejected,400,17
ungated,3,legit,in-window,182,ok,200,126.2
ungated,3,legit,in-window,190,ok,200,140.5
ungated,3,legit,in-window,198,ok,200,141.1
ungated,3,timed,in-window,201,ok,200,108.4
ungated,3,timed,in-window,183,ok,200,145.3
ungated,3,timed,in-window,187,ok,200,110.4
ungated,3,timed,in-window,184,ok,200,155.7
ungated,3,timed,in-window,193,ok,200,110.3
ungated,3,timed,in-window,192,ok,200,79.4
ungated,3,timed,in-window,192,ok,200,94.3
ungated,3,timed,in-window,189,ok,200,125
ungated,3,timed,in-window,183,ok,200,109.7
ungated,3,timed,in-window,194,ok,200,156.4
ungated,3,timed,in-window,199,ok,200,140.4
ungated,3,timed,in-window,187,ok,200,109.8
ungated,3,timed,in-window,185,ok,200,124.9
ungated,3,timed,in-window,198,ok,200,110.2
ungated,3,timed,in-window,193,ok,200,93.2
ungated,3,timed,in-window,199,ok,200,140.1
ungated,3,timed,in-window,200,ok,200,78.7
ungated,3,timed,in-window,183,ok,200,156.8
ungated,3,timed,in-window,191,ok,200,127.8
ungated,3,timed,in-window,188,ok,200,125.2
ungated,3,boundary,edge,205,accept(expect accept),200,124.7
ungated,3,boundary,edge,205.1,accept(expect accept),200,157.9
ungated,3,boundary,edge,174.9,accept(expect accept),200,79.8
