arm,rep,case,kind,value,verdict,status,latency_ms
no-readback,2,timed,in-window,184,ok,200,157.8
no-readback,2,timed,in-window,180,ok,200,158
no-readback,2,timed,in-window,182,ok,200,140.5
no-readback,2,timed,in-window,189,ok,200,140.7
no-readback,2,timed,in-window,179,ok,200,93.8
no-readback,2,timed,in-window,176,ok,200,113.4
no-readback,2,timed,in-window,200,ok,200,111.7
no-readback,2,boundary,edge,205,accept(expect accept),200,109.4
no-readback,2,boundary,edge,205.1,reject(expect reject),400,19
no-readback,2,boundary,edge,174.9,reject(expect reject),400,33
no-readback,3,attack,below-global,108,rejected,400,23.8
no-readback,3,attack,above-global,271,rejected,400,17.7
no-readback,3,attack,above-window,207,rejected,400,17.9
no-readback,3,attack,below-window,160,rejected,400,18.5
no-readback,3,attack,extreme,1000000,rejected,400,19.5
no-readback,3,attack,negative,-97,rejected,400,17.5
no-readback,3,legit,in-window,182,ok,200,141.2
no-readback,3,legit,in-window,190,ok,200,125.1
no-readback,3,legit,in-window,198,ok,200,110.3
no-readback,3,timed,in-window,199,ok,200,112.2
no-readback,3,timed,in-window,201,ok,200,93
no-readback,3,timed,in-window,190,ok,200,109.5
no-readback,3,timed,in-window,178,ok,200,109.6
no-readback,3,timed,in-window,193,ok,200,82.1
no-readback,3,timed,in-window,188,ok,200,94.1
no-readback,3,timed,in-window,191,ok,200,143.4
no-readback,3,timed,in-window,194,ok,200,109
no-readback,3,timed,in-window,182,ok,200,126.4
no-readback,3,timed,in-window,180,ok,200,93.4
no-readback,3,timed,in-window,196,ok,200,141.6
no-readback,3,timed,in-window,177,ok,200,127.1
no-readback,3,timed,in-window,180,ok,200,126.1
no-readback,3,timed,in-window,192,ok,200,126
no-readback,3,timed,in-window,202,ok,200,141.6
no-readback,3,timed,in-window,183,ok,200,94.9
no-readback,3,timed,in-window,203,ok,200,141.7
no-readback,3,timed,in-window,180,ok,200,158.7
no-readback,3,timed,in-window,182,ok,200,175.4
no-readback,3,timed,in-window,194,ok,200,156.7
no-readback,3,boundary,edge,205,accept(expect accept),200,96.6
no-readback,3,boundary,edge,205.1,reject(expect reject),400,19.4
no-readback,3,boundary,edge,174.9,reject(expect reject),400,18.8
ungated,1,attack,below-global,106,rejected,400,17.4
ungated,1,attack,above-global,273,rejected,400,18
ungated,1,attack,above-window,213,rejected,400,17.9
ungated,1,attack,below-window,161,rejected,400,17.7
ungated,1,attack,extreme,1000000,rejected,400,18.2
ungated,1,attack,negative,-85,rejected,400,18.1
ungated,1,legit,in-window,182,ok,200,108.9
ungated,1,legit,in-window,190,ok,200,163.6
ungated,1,legit,in-window,198,ok,200,158.4
ungated,1,timed,in-window,182,ok,200,125.8
ungated,1,timed,in-window,193,ok,200,156.1
ungated,1,timed,in-window,195,ok,200,94.5
ungated,1,timed,in-window,196,ok,200,144.1
ungated,1,timed,in-window,199,ok,200,96.4
ungated,1,timed,in-window,201,ok,200,111.6
ungated,1,timed,in-window,200,ok,200,143.7
ungated,1,timed,in-window,177,ok,200,110.1
ungated,1,timed,in-window,202,ok,200,111
ungated,1,timed,in-window,197,ok,200,141.7
ungated,1,timed,in-window,182,ok,200,142.2
ungated,1,timed,in-window,202,ok,200,109.3
ungated,1,timed,in-window,185,ok,200,156.7
ungated,1,timed,in-window,196,ok,200,171.3
ungated,1,timed,in-window,195,ok,200,158.4
ungated,1,timed,in-window,192,ok,200,125.2
ungated,1,timed,in-window,176,ok,200,112
ungated,1,timed,in-window,182,ok,200,156.2
ungated,1,timed,in-window,197,ok,200,114.5
ungated,1,timed,in-window,189,ok,200,125.5
ungated,1,boundary,edge,205,accept(expect accept),200,156.8
ungated,1,boundary,edge,205.1,reject(expect accept),400,18.2
ungated,1,boundary,edge,174.9,reject(expect accept),400,18.1
ungated,2,attack,below-global,117,rejected,400,17.5
ungated,2,attack,above-global,268,rejected,400,2.7
ungated,2,attack,above-window,214,rejected,400,18.4
ungated,2,attack,below-window,168,rejected,400,17.9
ungated,2,attack,extreme,1000000,rejected,400,19.1
ungated,2,attack,negative,-60,rejected,400,19.6
ungated,2,legit,in-window,182,ok,200,109.6
ungated,2,legit,in-window,190,ok,200,182.6
ungated,2,legit,in-window,198,ok,200,69.7
ungated,2,timed,in-window,198,ok,200,120.6
ungated,2,timed,in-window,186,ok,200,95.7
ungated,2,timed,in-window,186,ok,200,157.3
ungated,2,timed,in-window,196,ok,200,157
ungated,2,timed,in-window,196,ok,200,111.4
ungated,2,timed,in-window,187,ok,200,97.4
ungated,2,timed,in-window,185,ok,200,156.8
ungated,2,timed,in-window,181,ok,200,95.7
ungated,2,timed,in-window,182,ok,200,105.9
ungated,2,timed,in-window,180,ok,200,169.9
ungated,2,timed,in-window,194,ok,200,166.7
ungated,2,timed,in-window,189,ok,200,131.5
ungated,2,timed,in-window,187,ok,200,147.9
ungated,2,timed,in-window,183,ok,200,149.3
ungated,2,timed,in-window,193,ok,200,235.4
ungated,2,timed,in-window,190,ok,200,123.5
ungated,2,timed,in-window,198,ok,200,94.8
ungated,2,timed,in-window,176,ok,200,79.9
ungated,2,timed,in-window,190,ok,200,144.7
ungated,2,timed,in-window,179,ok,200,125.5
ungated,2,boundary,edge,205,accept(expect accept),200,164.3
ungated,2,boundary,edge,205.1,reject(expect accept),400,19.2
ungated,2,boundary,edge,174.9,reject(expect accept),400,18.1
ungated,3,attack,below-global,111,rejected,400,20.1
ungated,3,attack,above-global,273,rejected,400,17.9
ungated,3,attack,above-window,215,rejected,400,18.3
ungated,3,attack,below-window,161,rejected,400,19.1
ungated,3,attack,extreme,1000000,rejected,400,17.7
ungated,3,attack,negative,-74,rejected,400,17.7
ungated,3,legit,in-window,182,ok,200,95.6
ungated,3,legit,in-window,190,ok,200,115.1
ungated,3,legit,in-window,198,ok,200,94
ungated,3,timed,in-window,201,ok,200,140
ungated,3,timed,in-window,183,ok,200,141.5
ungated,3,timed,in-window,187,ok,200,156.8
ungated,3,timed,in-window,184,ok,200,128.2
ungated,3,timed,in-window,193,ok,200,80.1
ungated,3,timed,in-window,192,ok,200,94.3
ungated,3,timed,in-window,192,ok,200,94.6
ungated,3,timed,in-window,189,ok,200,178.3
ungated,3,timed,in-window,183,ok,200,115.2
ungated,3,timed,in-window,194,ok,200,95.8
ungated,3,timed,in-window,199,ok,200,141.6
ungated,3,timed,in-window,187,ok,200,140.6
ungated,3,timed,in-window,185,ok,200,110.6
ungated,3,timed,in-window,198,ok,200,141.9
ungated,3,timed,in-window,193,ok,200,156.7
ungated,3,timed,in-window,199,ok,200,157.5
ungated,3,timed,in-window,200,ok,200,125.3
ungated,3,timed,in-window,183,ok,200,125.7
ungated,3,timed,in-window,191,ok,200,126.7
ungated,3,timed,in-window,188,ok,200,139.4
ungated,3,boundary,edge,205,accept(expect accept),200,94.1
ungated,3,boundary,edge,205.1,reject(expect accept),400,17.4
ungated,3,boundary,edge,174.9,reject(expect accept),400,18.5
